# cell_tag	job_id	lat_level	rad_level	lat_sdr	rad_sdr	executions	n_gpus	nodes	tasks_per_node
RAD_l8r8_g4	488575	8	8	1	0	30	4	1	4
RAD_l8r9_g8	488576	8	9	1	1	30	8	2	4
RAD_l8r10_g16	488577	8	10	1	2	30	16	4	4
RAD_l8r11_g32	488578	8	11	1	3	30	32	8	4
RAD_l8r12_g64	488579	8	12	1	4	30	64	16	4
RAD_l8r7_g4	488580	8	7	1	0	30	4	1	4
RAD_l8r8_g8	488581	8	8	1	1	30	8	2	4
RAD_l8r9_g16	488582	8	9	1	2	30	16	4	4
RAD_l8r10_g32	488583	8	10	1	3	30	32	8	4
RAD_l8r11_g64	488584	8	11	1	4	30	64	16	4
RAD_l8r6_g4	488585	8	6	1	0	30	4	1	4
RAD_l8r7_g8	488586	8	7	1	1	30	8	2	4
RAD_l8r8_g16	488587	8	8	1	2	30	16	4	4
RAD_l8r9_g32	488588	8	9	1	3	30	32	8	4
RAD_l8r10_g64	488589	8	10	1	4	30	64	16	4
RAD_l8r5_g4	488590	8	5	1	0	30	4	1	4
RAD_l8r6_g8	488591	8	6	1	1	30	8	2	4
RAD_l8r7_g16	488592	8	7	1	2	30	16	4	4
RAD_l8r8_g32	488593	8	8	1	3	30	32	8	4
RAD_l8r9_g64	488594	8	9	1	4	30	64	16	4
